skill_parent_category,skill_sub_category,canonical_skill_name,alias,lang,notes
Consulting & Strategy,Consulting Toolkit,Feasibility Analysis,feasibility analysis,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Feasibility Analysis,feasibility study,en,from_SKILL_CATALOG; catalog_key=Systems Analysis
Consulting & Strategy,Consulting Toolkit,Feasibility Analysis,可行性分析,zh,中文
Consulting & Strategy,Consulting Toolkit,Market Sizing,market sizing,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Market Sizing,市場規模估算,zh,中文
Consulting & Strategy,Consulting Toolkit,Problem Structuring,issue tree,en,related
Consulting & Strategy,Consulting Toolkit,Problem Structuring,problem structuring,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Problem Structuring,問題拆解,zh,中文
Consulting & Strategy,Corporate Development,Chief of Staff Operations,chief of staff operations,en,exact_lower
Consulting & Strategy,Corporate Development,Chief of Staff Operations,幕僚營運,zh,中文
Consulting & Strategy,Corporate Development,Chief of Staff Operations,總經理室專案,zh,中文
Consulting & Strategy,Corporate Development,Corporate Development,corporate development,en,exact_lower
Consulting & Strategy,Corporate Development,Corporate Development,企業發展,zh,中文
Consulting & Strategy,Corporate Development,Corporate Development,公司發展,zh,中文
Consulting & Strategy,Corporate Development,M&A Analysis,m a analysis,en,punctuation_variant
Consulting & Strategy,Corporate Development,M&A Analysis,m&a,en,short
Consulting & Strategy,Corporate Development,M&A Analysis,m&a analysis,en,exact_lower
Consulting & Strategy,Corporate Development,M&A Analysis,maanalysis,en,no_space
Consulting & Strategy,Corporate Development,M&A Analysis,mergers and acquisitions,en,full name
Consulting & Strategy,Corporate Development,M&A Analysis,併購分析,zh,中文
Consulting & Strategy,Corporate Development,Strategic Initiatives,strategic initiatives,en,exact_lower
Consulting & Strategy,Corporate Development,Strategic Initiatives,策略專案,zh,中文
Consulting & Strategy,Research,Company Research,company research,en,exact_lower
Consulting & Strategy,Research,Company Research,公司研究,zh,中文
Consulting & Strategy,Research,Competitive Analysis,competitive analysis,en,exact_lower
Consulting & Strategy,Research,Competitive Analysis,competitor analysis,en,variant
Consulting & Strategy,Research,Competitive Analysis,競品分析,zh,中文
Consulting & Strategy,Research,Industry Research,industry research,en,exact_lower
Consulting & Strategy,Research,Industry Research,產業研究,zh,中文
Consulting & Strategy,Strategy,Business Model Design,business model,en,short
Consulting & Strategy,Strategy,Business Model Design,business model design,en,exact_lower
Consulting & Strategy,Strategy,Business Model Design,商業模式設計,zh,中文
Consulting & Strategy,Strategy,Business Strategy,business strategy,en,exact_lower
Consulting & Strategy,Strategy,Business Strategy,data-driven,en,from_SKILL_CATALOG
Consulting & Strategy,Strategy,Business Strategy,商業策略,zh,中文
Consulting & Strategy,Strategy,Business Transformation,business transformation,en,exact_lower
Consulting & Strategy,Strategy,Business Transformation,企業轉型,zh,中文
Consulting & Strategy,Strategy,Corporate Strategy,corporate strategy,en,exact_lower
Consulting & Strategy,Strategy,Corporate Strategy,公司策略,zh,中文
Consulting & Strategy,Strategy,Digital Transformation,digital transformation,en,exact_lower
Consulting & Strategy,Strategy,Digital Transformation,數位轉型,zh,中文
Consulting & Strategy,Strategy,Growth Strategy,growth strategy,en,exact_lower
Consulting & Strategy,Strategy,Growth Strategy,成長策略,zh,中文
Consulting & Strategy,Strategy,Market Entry Strategy,market entry,en,short
Consulting & Strategy,Strategy,Market Entry Strategy,market entry strategy,en,exact_lower
Consulting & Strategy,Strategy,Market Entry Strategy,市場進入策略,zh,中文
Consulting & Strategy,Strategy,Strategic Planning,strategic planning,en,exact_lower
Consulting & Strategy,Strategy,Strategic Planning,策略規劃,zh,中文
Data Engineering & Cloud,API / Integration,API Integration,api integration,en,exact_lower
Data Engineering & Cloud,API / Integration,API Integration,api 串接,mixed,常見混寫
Data Engineering & Cloud,API / Integration,API Integration,system integration,en,related
Data Engineering & Cloud,API / Integration,API Integration,第三方串接,zh,中文
Data Engineering & Cloud,API / Integration,REST API,rest api,en,exact_lower
Data Engineering & Cloud,API / Integration,REST API,rest api integration,en,variant
Data Engineering & Cloud,API / Integration,REST API,restful,en,short
Data Engineering & Cloud,API / Integration,REST API,restful api,en,variant
Data Engineering & Cloud,Analytics Engineering,Data Mart,data mart,en,exact_lower
Data Engineering & Cloud,Analytics Engineering,Data Mart,datamart,en,no space
Data Engineering & Cloud,Analytics Engineering,Data Mart,fact table,en,from_SKILL_CATALOG; catalog_key=Data Warehouse
Data Engineering & Cloud,Analytics Engineering,Data Mart,資料市集,zh,中文
Data Engineering & Cloud,Analytics Engineering,dbt,\bdbt\b,en,from_SKILL_CATALOG; regex
Data Engineering & Cloud,Analytics Engineering,dbt,data build tool,en,full name
Data Engineering & Cloud,Analytics Engineering,dbt,dbt,en,exact_lower
Data Engineering & Cloud,Analytics Engineering,dbt,dbt cloud,en,product
Data Engineering & Cloud,Analytics Engineering,dbt,dbt core,en,product
Data Engineering & Cloud,Analytics Engineering,Semantic Layer,metrics layer,en,related
Data Engineering & Cloud,Analytics Engineering,Semantic Layer,semantic layer,en,exact_lower
Data Engineering & Cloud,Analytics Engineering,Semantic Layer,語意層,zh,中文
Data Engineering & Cloud,Analytics Engineering,Semantic Layer,語義層,zh,中文
Data Engineering & Cloud,Big Data Processing,PySpark,py spark,en,spacing
Data Engineering & Cloud,Big Data Processing,PySpark,pyspark,en,exact_lower
Data Engineering & Cloud,Big Data Processing,PySpark,spark python,en,variant
Data Engineering & Cloud,Big Data Processing,Spark,\bspark\b,en,from_SKILL_CATALOG; regex
Data Engineering & Cloud,Big Data Processing,Spark,apache spark,en,full name
Data Engineering & Cloud,Big Data Processing,Spark,spark,en,exact_lower
Data Engineering & Cloud,Big Data Processing,Spark,spark streaming,en,from_SKILL_CATALOG
Data Engineering & Cloud,Cloud Platforms,AWS,amazon web services,en,full name
Data Engineering & Cloud,Cloud Platforms,AWS,aws,en,exact_lower
Data Engineering & Cloud,Cloud Platforms,AWS,aws cloud,en,variant
Data Engineering & Cloud,Cloud Platforms,Azure,azure,en,exact_lower
Data Engineering & Cloud,Cloud Platforms,Azure,microsoft azure,en,vendor
Data Engineering & Cloud,Cloud Platforms,GCP,gcp,en,exact_lower
Data Engineering & Cloud,Cloud Platforms,GCP,google cloud,en,variant
Data Engineering & Cloud,Cloud Platforms,GCP,google cloud platform,en,full name
Data Engineering & Cloud,Cloud Services,Amazon EC2,amazon ec2,en,exact_lower
Data Engineering & Cloud,Cloud Services,Amazon EC2,aws ec2,en,variant
Data Engineering & Cloud,Cloud Services,Amazon EC2,ec2,en,short
Data Engineering & Cloud,Cloud Services,Amazon S3,amazon s3,en,exact_lower
Data Engineering & Cloud,Cloud Services,Amazon S3,aws s3,en,variant
Data Engineering & Cloud,Cloud Services,AWS Lambda,aws lambda,en,exact_lower
Data Engineering & Cloud,Cloud Services,AWS Lambda,lambda,en,short
Data Engineering & Cloud,Cloud Services,Cloud Architecture,cloud architecture,en,exact_lower
Data Engineering & Cloud,Cloud Services,Cloud Architecture,雲端架構,zh,中文
Data Engineering & Cloud,Cloud Services,Cloud Storage,cloud storage,en,exact_lower
Data Engineering & Cloud,Cloud Services,Cloud Storage,雲端儲存,zh,中文
Data Engineering & Cloud,Cloud Services,Google Cloud Storage,gcs,en,abbrev
Data Engineering & Cloud,Cloud Services,Google Cloud Storage,google cloud storage,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Catalog,data catalog,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Catalog,資料目錄,zh,中文
Data Engineering & Cloud,Data Governance,Data Dictionary,data dictionary,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Dictionary,資料字典,zh,中文
Data Engineering & Cloud,Data Governance,Data Governance,data governance,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Governance,data management,en,from_SKILL_CATALOG
Data Engineering & Cloud,Data Governance,Data Governance,data steward,en,from_SKILL_CATALOG
Data Engineering & Cloud,Data Governance,Data Governance,dmp,en,from_SKILL_CATALOG
Data Engineering & Cloud,Data Governance,Data Governance,資料治理,zh,中文
Data Engineering & Cloud,Data Governance,Data Integrity,data integrity,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Integrity,資料完整性,zh,中文
Data Engineering & Cloud,Data Governance,Data Lineage,data lineage,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Lineage,資料溯源,zh,中文
Data Engineering & Cloud,Data Governance,Data Lineage,資料血緣,zh,中文
Data Engineering & Cloud,Data Governance,Data Wrangling,data munging,en,variant
Data Engineering & Cloud,Data Governance,Data Wrangling,data wrangling,en,exact_lower
Data Engineering & Cloud,Data Governance,Data Wrangling,資料整理,zh,中文
Data Engineering & Cloud,Data Governance,Master Data Management,master data,en,from_SKILL_CATALOG; catalog_key=Data Governance
Data Engineering & Cloud,Data Governance,Master Data Management,master data management,en,exact_lower
Data Engineering & Cloud,Data Governance,Master Data Management,mdm,en,abbrev
Data Engineering & Cloud,Data Governance,Master Data Management,主數據管理,zh,中文
Data Engineering & Cloud,Data Governance,Master Data Management,主資料管理,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Cleaning,data cleaning,en,exact_lower
Data Engineering & Cloud,Data Pipeline,Data Cleaning,data cleansing,en,variant
Data Engineering & Cloud,Data Pipeline,Data Cleaning,資料清洗,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Cleaning,資料清理,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Ingestion,data ingestion,en,exact_lower
Data Engineering & Cloud,Data Pipeline,Data Ingestion,資料匯入,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Ingestion,資料擷取,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Pipeline,Data Engineering,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,data flow,en,from_SKILL_CATALOG; catalog_key=Data Warehouse
Data Engineering & Cloud,Data Pipeline,Data Pipeline,data pipeline,en,exact_lower
Data Engineering & Cloud,Data Pipeline,Data Pipeline,data pipelines,en,plural
Data Engineering & Cloud,Data Pipeline,Data Pipeline,data processing,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,data storage,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,database,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,ods,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,structured data,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,unstructured data,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Data Engineering & Cloud,Data Pipeline,Data Pipeline,資料管線,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Quality,data quality,en,exact_lower
Data Engineering & Cloud,Data Pipeline,Data Quality,資料品質,zh,中文
Data Engineering & Cloud,Data Pipeline,Data Transformation,data transformation,en,exact_lower
Data Engineering & Cloud,Data Pipeline,Data Transformation,資料轉換,zh,中文
Data Engineering & Cloud,Data Pipeline,ELT,elt,en,exact_lower
Data Engineering & Cloud,Data Pipeline,ELT,elt pipeline,en,variant
Data Engineering & Cloud,Data Pipeline,ELT,extract load transform,en,full name
Data Engineering & Cloud,Data Pipeline,ETL,etl,en,exact_lower
Data Engineering & Cloud,Data Pipeline,ETL,etl pipeline,en,variant
Data Engineering & Cloud,Data Pipeline,ETL,extract transform load,en,full name
Data Engineering & Cloud,Data Storage,Data Lake,data lake,en,exact_lower
Data Engineering & Cloud,Data Storage,Data Lake,資料湖,zh,中文
Data Engineering & Cloud,Data Storage,Data Lakehouse,data lakehouse,en,exact_lower
Data Engineering & Cloud,Data Storage,Data Lakehouse,lakehouse,en,short
Data Engineering & Cloud,Data Storage,Data Lakehouse,湖倉,zh,中文
Data Engineering & Cloud,Data Storage,Data Warehouse,data warehouse,en,exact_lower
Data Engineering & Cloud,Data Storage,Data Warehouse,dwh,en,abbrev
Data Engineering & Cloud,Data Storage,Data Warehouse,資料倉儲,zh,中文
Data Engineering & Cloud,DevOps / Infrastructure,Containerization,container,en,from_SKILL_CATALOG; catalog_key=Docker/K8s
Data Engineering & Cloud,DevOps / Infrastructure,Containerization,containerisation,en,UK spelling
Data Engineering & Cloud,DevOps / Infrastructure,Containerization,containerization,en,exact_lower
Data Engineering & Cloud,DevOps / Infrastructure,Containerization,容器化,zh,中文
Data Engineering & Cloud,DevOps / Infrastructure,Docker,docker,en,exact_lower
Data Engineering & Cloud,DevOps / Infrastructure,Docker,docker container,en,variant
Data Engineering & Cloud,DevOps / Infrastructure,Docker,Docker/K8s,en,from_SKILL_CATALOG; catalog_key=Docker/K8s
Data Engineering & Cloud,DevOps / Infrastructure,Kubernetes,\bk8s\b,en,from_SKILL_CATALOG; regex; catalog_key=Docker/K8s
Data Engineering & Cloud,DevOps / Infrastructure,Kubernetes,k8s,en,abbrev
Data Engineering & Cloud,DevOps / Infrastructure,Kubernetes,kubernetes,en,exact_lower
Data Engineering & Cloud,DevOps / Infrastructure,Microservices,microservice,en,singular
Data Engineering & Cloud,DevOps / Infrastructure,Microservices,microservices,en,exact_lower
Data Engineering & Cloud,DevOps / Infrastructure,Microservices,微服務,zh,中文
Data Engineering & Cloud,Streaming / Messaging,Event Streaming,event streaming,en,exact_lower
Data Engineering & Cloud,Streaming / Messaging,Event Streaming,事件串流,zh,中文
Data Engineering & Cloud,Streaming / Messaging,Kafka,apache kafka,en,full name
Data Engineering & Cloud,Streaming / Messaging,Kafka,kafka,en,exact_lower
Data Engineering & Cloud,Streaming / Messaging,Message Queue,message queue,en,exact_lower
Data Engineering & Cloud,Streaming / Messaging,Message Queue,訊息佇列,zh,中文
Data Engineering & Cloud,Streaming / Messaging,Pub/Sub,pub sub,en,punctuation_variant
Data Engineering & Cloud,Streaming / Messaging,Pub/Sub,pub/sub,en,exact_lower
Data Engineering & Cloud,Streaming / Messaging,Pub/Sub,publish subscribe,en,full name
Data Engineering & Cloud,Streaming / Messaging,Pub/Sub,pubsub,en,no_space
Data Engineering & Cloud,Streaming / Messaging,RabbitMQ,rabbit mq,en,spacing
Data Engineering & Cloud,Streaming / Messaging,RabbitMQ,rabbitmq,en,exact_lower
Data Engineering & Cloud,Version Control,Git,\bgit\b,en,from_SKILL_CATALOG; regex
Data Engineering & Cloud,Version Control,Git,bitbucket,en,from_SKILL_CATALOG
Data Engineering & Cloud,Version Control,Git,git,en,exact_lower
Data Engineering & Cloud,Version Control,Git,gitlab,en,from_SKILL_CATALOG
Data Engineering & Cloud,Version Control,Git,version control,en,from_SKILL_CATALOG
Data Engineering & Cloud,Version Control,GitHub,git hub,en,spacing
Data Engineering & Cloud,Version Control,GitHub,github,en,exact_lower
Data Engineering & Cloud,Workflow Orchestration,Airflow,airflow,en,exact_lower
Data Engineering & Cloud,Workflow Orchestration,Airflow,apache airflow,en,full name
Data Engineering & Cloud,Workflow Orchestration,Airflow,dag,en,from_SKILL_CATALOG
Data Engineering & Cloud,Workflow Orchestration,Airflow,luigi,en,from_SKILL_CATALOG
Data Engineering & Cloud,Workflow Orchestration,Airflow,workflow orchestration,en,from_SKILL_CATALOG
Data Engineering & Cloud,Workflow Orchestration,Dagster,dagster,en,exact_lower
Data Engineering & Cloud,Workflow Orchestration,Prefect,prefect,en,exact_lower
Database & Query Languages,Cloud Data Warehouses,Amazon Redshift,amazon redshift,en,exact_lower
Database & Query Languages,Cloud Data Warehouses,Amazon Redshift,aws redshift,en,variant
Database & Query Languages,Cloud Data Warehouses,Amazon Redshift,redshift,en,short
Database & Query Languages,Cloud Data Warehouses,BigQuery,big query,en,from_SKILL_CATALOG
Database & Query Languages,Cloud Data Warehouses,BigQuery,bigquery,en,exact_lower
Database & Query Languages,Cloud Data Warehouses,BigQuery,bigquery sql,en,from_SKILL_CATALOG; catalog_key=SQL
Database & Query Languages,Cloud Data Warehouses,BigQuery,google bigquery,en,vendor
Database & Query Languages,Cloud Data Warehouses,Databricks,databricks,en,exact_lower
Database & Query Languages,Cloud Data Warehouses,Databricks,dbx,en,abbrev
Database & Query Languages,Cloud Data Warehouses,Snowflake,snowflake,en,exact_lower
Database & Query Languages,Cloud Data Warehouses,Snowflake,snowflake data cloud,en,product
Database & Query Languages,Data Modeling,Data Modeling,data modeling,en,exact_lower
Database & Query Languages,Data Modeling,Data Modeling,data modelling,en,UK spelling
Database & Query Languages,Data Modeling,Data Modeling,資料建模,zh,中文
Database & Query Languages,Data Modeling,Dimensional Modeling,dimensional modeling,en,exact_lower
Database & Query Languages,Data Modeling,Dimensional Modeling,dimensional modelling,en,UK spelling
Database & Query Languages,Data Modeling,Dimensional Modeling,維度建模,zh,中文
Database & Query Languages,Data Modeling,Entity Relationship Diagram,entity relationship diagram,en,exact_lower
Database & Query Languages,Data Modeling,Entity Relationship Diagram,entity-relationship diagram,en,hyphen
Database & Query Languages,Data Modeling,Entity Relationship Diagram,erd,en,abbrev
Database & Query Languages,Data Modeling,Entity Relationship Diagram,實體關係圖,zh,中文
Database & Query Languages,Data Modeling,Star Schema,star schema,en,exact_lower
Database & Query Languages,Data Modeling,Star Schema,星型模型,zh,中文
Database & Query Languages,Data Modeling,Star Schema,星型綱要,zh,中文
Database & Query Languages,Database Engineering,Database Design,database architecture,en,from_SKILL_CATALOG; catalog_key=Data Engineering
Database & Query Languages,Database Engineering,Database Design,database design,en,exact_lower
Database & Query Languages,Database Engineering,Database Design,db design,en,short
Database & Query Languages,Database Engineering,Database Design,資料庫設計,zh,中文
Database & Query Languages,Database Engineering,Database Schema,database schema,en,exact_lower
Database & Query Languages,Database Engineering,Database Schema,db schema,en,short
Database & Query Languages,Database Engineering,Database Schema,資料庫綱要,zh,中文
Database & Query Languages,Database Engineering,Query Optimization,query optimization,en,exact_lower
Database & Query Languages,Database Engineering,Query Optimization,sql optimization,en,related
Database & Query Languages,Database Engineering,Query Optimization,查詢優化,zh,中文
Database & Query Languages,Database Engineering,Stored Procedure,stored proc,en,short
Database & Query Languages,Database Engineering,Stored Procedure,stored procedure,en,exact_lower
Database & Query Languages,Database Engineering,Stored Procedure,預存程序,zh,中文
Database & Query Languages,NoSQL Databases,MongoDB,document database,en,from_SKILL_CATALOG
Database & Query Languages,NoSQL Databases,MongoDB,mongo,en,short
Database & Query Languages,NoSQL Databases,MongoDB,mongo db,en,from_SKILL_CATALOG
Database & Query Languages,NoSQL Databases,MongoDB,mongodb,en,exact_lower
Database & Query Languages,NoSQL Databases,MongoDB,nosql,en,from_SKILL_CATALOG
