role_normalized,alias,lang,notes
Digital Marketing Specialist,digital marketing specialist,en,
Digital Marketing Specialist,digital marketer,en,
Digital Marketing Specialist,digital marketing executive,en,
Digital Marketing Specialist,online marketing specialist,en,
Digital Marketing Specialist,數位行銷專員,zh,
Digital Marketing Specialist,數位行銷企劃,zh,
Digital Marketing Specialist,線上行銷專員,zh,
Digital Marketing Specialist,Digital Marketing專員,mixed,
Growth Marketing Analyst,Growth Marketing Analyst,en,
Growth Marketing Analyst,growth marketing analyst,en,
Growth Marketing Analyst,growth analyst,en,
Growth Marketing Analyst,user growth analyst,en,
Growth Marketing Analyst,growth marketing analytics,en,
Growth Marketing Analyst,成長行銷分析師,zh,
Growth Marketing Analyst,增長行銷分析師,zh,
Growth Marketing Analyst,Growth Marketing分析師,mixed,
Growth Marketing Analyst,用戶成長分析師,zh,
Performance Marketing Analyst,Performance Marketing Analyst,en,
Performance Marketing Analyst,performance marketing analyst,en,
Performance Marketing Analyst,performance analyst,en,
Performance Marketing Analyst,paid marketing analyst,en,
Performance Marketing Analyst,ads analyst,en,
Performance Marketing Analyst,成效行銷分析師,zh,
Performance Marketing Analyst,績效行銷分析師,zh,
Performance Marketing Analyst,廣告投放分析師,zh,
Performance Marketing Analyst,Performance Marketing分析師,mixed,
Paid Media Specialist,Paid Media Specialist,en,
Paid Media Specialist,paid media specialist,en,
Paid Media Specialist,media buyer,en,
Paid Media Specialist,paid media buyer,en,
Paid Media Specialist,ad ops specialist,en,
Paid Media Specialist,廣告投放專員,zh,
Paid Media Specialist,媒體投放專員,zh,
Paid Media Specialist,付費媒體專員,zh,
Paid Media Specialist,Paid Media專員,mixed,
SEO Specialist,SEO Specialist,en,
SEO Specialist,seo specialist,en,
SEO Specialist,seo analyst,en,
SEO Specialist,seo executive,en,
SEO Specialist,search engine optimization specialist,en,
SEO Specialist,SEO專員,mixed,
SEO Specialist,搜尋引擎優化專員,zh,
SEO Specialist,SEO優化師,mixed,
SEO Specialist,SEO行銷專員,mixed,
SEM Specialist,SEM Specialist,en,
SEM Specialist,sem specialist,en,
SEM Specialist,sem analyst,en,
SEM Specialist,search engine marketing specialist,en,
SEM Specialist,paid search specialist,en,
SEM Specialist,SEM專員,mixed,
SEM Specialist,搜尋引擎行銷專員,zh,
SEM Specialist,關鍵字廣告專員,zh,
SEM Specialist,搜尋廣告投放專員,zh,
SEO/SEM Specialist,SEO/SEM Specialist,en,
SEO/SEM Specialist,seo/sem specialist,en,
SEO/SEM Specialist,seo sem specialist,en,
SEO/SEM Specialist,search marketing specialist,en,
SEO/SEM Specialist,搜尋行銷專員,zh,
SEO/SEM Specialist,SEO/SEM專員,mixed,
SEO/SEM Specialist,搜尋引擎行銷專員,zh,
CRM Specialist,CRM Specialist,en,
CRM Specialist,crm specialist,en,
CRM Specialist,crm executive,en,
CRM Specialist,crm coordinator,en,
CRM Specialist,customer relationship management specialist,en,
CRM Specialist,CRM專員,mixed,
CRM Specialist,顧客關係管理專員,zh,
CRM Specialist,會員經營專員,zh,
CRM Specialist,CRM管理師,mixed,
CRM Marketing Specialist,CRM Marketing Specialist,en,
CRM Marketing Specialist,crm marketing specialist,en,
CRM Marketing Specialist,crm marketer,en,
CRM Marketing Specialist,member marketing specialist,en,
CRM Marketing Specialist,customer engagement marketing specialist,en,
CRM Marketing Specialist,CRM行銷專員,mixed,
CRM Marketing Specialist,會員行銷專員,zh,
CRM Marketing Specialist,顧客經營行銷專員,zh,
Content Marketing Specialist,Content Marketing Specialist,en,
Content Marketing Specialist,content marketing specialist,en,
Content Marketing Specialist,content marketer,en,
Content Marketing Specialist,content strategist,en,
Content Marketing Specialist,content specialist,en,
Content Marketing Specialist,內容行銷專員,zh,
Content Marketing Specialist,內容企劃,zh,
Content Marketing Specialist,內容行銷企劃,zh,
Content Marketing Specialist,Content Marketing專員,mixed,
Lifecycle Marketing Specialist,Lifecycle Marketing Specialist,en,
Lifecycle Marketing Specialist,lifecycle marketing specialist,en,
Lifecycle Marketing Specialist,lifecycle marketer,en,
Lifecycle Marketing Specialist,customer lifecycle marketing specialist,en,
Lifecycle Marketing Specialist,user lifecycle marketing,en,
Lifecycle Marketing Specialist,生命週期行銷專員,zh,
Lifecycle Marketing Specialist,用戶生命週期行銷,zh,
Lifecycle Marketing Specialist,會員生命週期行銷,zh,
Retention Marketing Specialist,Retention Marketing Specialist,en,
Retention Marketing Specialist,retention marketing specialist,en,
Retention Marketing Specialist,retention marketer,en,
Retention Marketing Specialist,user retention specialist,en,
Retention Marketing Specialist,customer retention marketing specialist,en,
Retention Marketing Specialist,留存行銷專員,zh,
Retention Marketing Specialist,用戶留存行銷,zh,
Retention Marketing Specialist,會員留存行銷,zh,
Retention Marketing Specialist,Retention專員,mixed,
Product Marketing Specialist,Product Marketing Specialist,en,
Product Marketing Specialist,product marketing specialist,en,
Product Marketing Specialist,pmm specialist,en,
Product Marketing Specialist,product marketing associate,en,
Product Marketing Specialist,產品行銷專員,zh,
Product Marketing Specialist,Product Marketing專員,mixed,
Product Marketing Specialist,PMM專員,mixed,PMM = Product Marketing Manager/Specialist，需搭配職級判斷
Product Marketing Manager,Product Marketing Manager,en,
Product Marketing Manager,product marketing manager,en,
Product Marketing Manager,pmm,en,常用縮寫；可能不含職級
Product Marketing Manager,pmm manager,en,
Product Marketing Manager,product marketing lead,en,
Product Marketing Manager,產品行銷經理,zh,
Product Marketing Manager,PMM,en,常用縮寫；可能不含職級
Solutions Marketing Manager,Solutions Marketing Manager,en,
Solutions Marketing Manager,solutions marketing manager,en,
Solutions Marketing Manager,solution marketing manager,en,
Solutions Marketing Manager,solution marketing lead,en,
Solutions Marketing Manager,解決方案行銷經理,zh,
Solutions Marketing Manager,Solution Marketing經理,mixed,
Solutions Marketing Manager,方案行銷經理,zh,
GTM Strategy Analyst,GTM Strategy Analyst,en,
GTM Strategy Analyst,gtm strategy analyst,en,
GTM Strategy Analyst,go to market strategy analyst,en,
GTM Strategy Analyst,gtm analyst,en,
GTM Strategy Analyst,上市策略分析師,zh,
GTM Strategy Analyst,GTM策略分析師,mixed,
GTM Strategy Analyst,Go-to-Market分析師,mixed,
Go-to-Market Analyst,Go-to-Market Analyst,en,
Go-to-Market Analyst,go-to-market analyst,en,
Go-to-Market Analyst,go to market analyst,en,
Go-to-Market Analyst,gtm analyst,en,
Go-to-Market Analyst,上市分析師,zh,
Go-to-Market Analyst,GTM分析師,mixed,
Go-to-Market Analyst,市場進入分析師,zh,
Go-to-Market Specialist,Go-to-Market Specialist,en,
Go-to-Market Specialist,go-to-market specialist,en,
Go-to-Market Specialist,go to market specialist,en,
Go-to-Market Specialist,gtm specialist,en,
Go-to-Market Specialist,上市策略專員,zh,
Go-to-Market Specialist,GTM專員,mixed,
Go-to-Market Specialist,Go-to-Market專員,mixed,
GTM Manager,GTM Manager,en,
GTM Manager,gtm manager,en,
GTM Manager,go to market manager,en,
GTM Manager,gtm lead,en,
GTM Manager,上市策略經理,zh,
GTM Manager,GTM經理,mixed,
GTM Manager,Go-to-Market經理,mixed,
Growth Associate,Growth Associate,en,
Growth Associate,growth associate,en,
Growth Associate,growth specialist,en,
Growth Associate,growth ops associate,en,
Growth Associate,成長專員,zh,
Growth Associate,增長專員,zh,
Market Research Analyst,Market Research Analyst,en,
Market Research Analyst,market research analyst,en,
Market Research Analyst,market analyst,en,
Market Research Analyst,market intelligence analyst,en,
Market Research Analyst,research analyst,en,
Market Research Analyst,市場研究分析師,zh,
Market Research Analyst,市調分析師,zh,
Market Research Analyst,市場調查分析師,zh,
Market Research Analyst,市場分析師,zh,
Research Associate,Research Associate,en,
Research Associate,research associate,en,
Research Associate,research assistant,en,
Research Associate,research specialist,en,
Research Associate,researcher,en,
Research Associate,研究助理,zh,
Research Associate,研究專員,zh,
Research Associate,產業研究員,zh,
Survey Analyst,Survey Analyst,en,
Survey Analyst,survey analyst,en,
Survey Analyst,survey research analyst,en,
Survey Analyst,questionnaire analyst,en,
Survey Analyst,問卷分析師,zh,
Survey Analyst,調查分析師,zh,
Survey Analyst,問卷研究員,zh,
Survey Analyst,市調分析師,zh,
Consumer Research Analyst,Consumer Research Analyst,en,
Consumer Research Analyst,consumer research analyst,en,
Consumer Research Analyst,consumer insight analyst,en,
Consumer Research Analyst,consumer behavior analyst,en,
Consumer Research Analyst,消費者研究分析師,zh,
Consumer Research Analyst,消費者洞察分析師,zh,
Consumer Research Analyst,消費者行為分析師,zh,
Consumer Insights Analyst,Consumer Insights Analyst,en,
Consumer Insights Analyst,consumer insights analyst,en,
Consumer Insights Analyst,consumer insight analyst,en,
Consumer Insights Analyst,consumer analyst,en,
Consumer Insights Analyst,消費者洞察分析師,zh,
Consumer Insights Analyst,消費者分析師,zh,
Consumer Insights Analyst,消費者研究分析師,zh,
Customer Insights Analyst,Customer Insights Analyst,en,
Customer Insights Analyst,customer insights analyst,en,
Customer Insights Analyst,customer insight analyst,en,
Customer Insights Analyst,customer analyst,en,
Customer Insights Analyst,customer analytics analyst,en,
Customer Insights Analyst,顧客洞察分析師,zh,
Customer Insights Analyst,客戶洞察分析師,zh,
Customer Insights Analyst,顧客分析師,zh,
User Research Analyst,User Research Analyst,en,
User Research Analyst,user research analyst,en,
User Research Analyst,ux research analyst,en,
User Research Analyst,user researcher,en,
User Research Analyst,ux researcher,en,
User Research Analyst,使用者研究分析師,zh,
User Research Analyst,用戶研究員,zh,
User Research Analyst,UX研究員,mixed,
User Research Analyst,使用者洞察分析師,zh,
Competitive Intelligence Analyst,Competitive Intelligence Analyst,en,
Competitive Intelligence Analyst,competitive intelligence analyst,en,
Competitive Intelligence Analyst,ci analyst,en,
Competitive Intelligence Analyst,competitive analyst,en,
Competitive Intelligence Analyst,competition analyst,en,
Competitive Intelligence Analyst,競品分析師,zh,
Competitive Intelligence Analyst,競爭情報分析師,zh,
Competitive Intelligence Analyst,競爭分析師,zh,
Market Intelligence Analyst,Market Intelligence Analyst,en,
Market Intelligence Analyst,market intelligence analyst,en,
Market Intelligence Analyst,mi analyst,en,
Market Intelligence Analyst,market insight analyst,en,
Market Intelligence Analyst,industry intelligence analyst,en,
Market Intelligence Analyst,市場情報分析師,zh,
Market Intelligence Analyst,市場洞察分析師,zh,
Market Intelligence Analyst,產業情報分析師,zh,
Industry Research Analyst,Industry Research Analyst,en,
Industry Research Analyst,industry research analyst,en,
Industry Research Analyst,industry analyst,en,
Industry Research Analyst,sector research analyst,en,
Industry Research Analyst,行業研究員,zh,
Industry Research Analyst,產業研究分析師,zh,
Industry Research Analyst,產業分析師,zh,
Business Development Associate,Business Development Associate,en,
Business Development Associate,business development associate,en,
Business Development Associate,bd associate,en,
Business Development Associate,business development specialist,en,
Business Development Associate,bd specialist,en,
Business Development Associate,商務開發專員,zh,
Business Development Associate,業務開發專員,zh,
Business Development Associate,BD專員,mixed,
Business Development Associate,商業開發專員,zh,
Business Development Representative,Business Development Representative,en,
Business Development Representative,business development representative,en,
Business Development Representative,bdr,en,
Business Development Representative,business development rep,en,
Business Development Representative,sales development representative,en,
Business Development Representative,sdr,en,
Business Development Representative,業務開發代表,zh,
Business Development Representative,商務開發代表,zh,
Business Development Representative,BDR,en,
Business Development Representative,開發業務,zh,
Business Development Manager,Business Development Manager,en,
Business Development Manager,business development manager,en,
Business Development Manager,bd manager,en,
Business Development Manager,business development lead,en,
Business Development Manager,partnership development manager,en,
Business Development Manager,商務開發經理,zh,
Business Development Manager,業務開發經理,zh,
Business Development Manager,BD經理,mixed,
Business Development Manager,商業開發經理,zh,
Sales Executive,Sales Executive,en,
Sales Executive,sales executive,en,
Sales Executive,sales rep,en,
Sales Executive,sales representative,en,
Sales Executive,sales specialist,en,
Sales Executive,業務專員,zh,
Sales Executive,業務代表,zh,
Sales Executive,銷售專員,zh,
Sales Analyst,Sales Analyst,en,
Sales Analyst,sales analyst,en,
Sales Analyst,sales operations analyst,en,
Sales Analyst,sales data analyst,en,
Sales Analyst,sales analytics analyst,en,
Sales Analyst,銷售分析師,zh,
Sales Analyst,業務分析師,zh,
Sales Analyst,Sales分析師,mixed,
Account Executive,Account Executive,en,
Account Executive,account executive,en,
Account Executive,ae,en,AE 常用於 Account Executive，也可能指 Advertising Executive
Account Executive,account exec,en,
Account Executive,sales account executive,en,
Account Executive,客戶業務,zh,
Account Executive,客戶經理,zh,
Account Executive,AE,en,
Account Executive,業務專員,zh,
Account Manager,Account Manager,en,
Account Manager,account manager,en,
Account Manager,am,en,
Account Manager,client manager,en,
Account Manager,account lead,en,
Account Manager,客戶經理,zh,
Account Manager,帳戶經理,zh,
Account Manager,業務經理,zh,
Key Account Manager,Key Account Manager,en,
Key Account Manager,key account manager,en,
Key Account Manager,kam,en,
Key Account Manager,strategic account manager,en,
Key Account Manager,major account manager,en,
Key Account Manager,大客戶經理,zh,
Key Account Manager,關鍵客戶經理,zh,
Key Account Manager,KAM,en,
Partnership Manager,Partnership Manager,en,
Partnership Manager,partnership manager,en,
Partnership Manager,partnerships manager,en,
Partnership Manager,strategic partnership manager,en,
Partnership Manager,business partnership manager,en,
Partnership Manager,合作夥伴經理,zh,
Partnership Manager,異業合作經理,zh,
Partnership Manager,策略合作經理,zh,
Strategic Partnerships Analyst,Strategic Partnerships Analyst,en,
Strategic Partnerships Analyst,strategic partnerships analyst,en,
Strategic Partnerships Analyst,partnership analyst,en,
Strategic Partnerships Analyst,strategic partnership analyst,en,
Strategic Partnerships Analyst,business partnership analyst,en,
Strategic Partnerships Analyst,策略合作分析師,zh,
Strategic Partnerships Analyst,商務合作分析師,zh,
Strategic Partnerships Analyst,Partnership分析師,mixed,
Channel Sales Manager,Channel Sales Manager,en,
Channel Sales Manager,channel sales manager,en,
Channel Sales Manager,channel manager,en,
Channel Sales Manager,channel development manager,en,
Channel Sales Manager,通路業務經理,zh,
Channel Sales Manager,渠道銷售經理,zh,
Channel Sales Manager,通路開發經理,zh,
Customer Success Manager,Customer Success Manager,en,
Customer Success Manager,customer success manager,en,
Customer Success Manager,csm,en,
Customer Success Manager,customer success lead,en,
Customer Success Manager,client success manager,en,
Customer Success Manager,客戶成功經理,zh,
Customer Success Manager,CSM,en,
Customer Success Manager,客戶經營經理,zh,
Associate Product Manager,Associate Product Manager,en,
Associate Product Manager,associate product manager,en,
Associate Product Manager,apm,en,
Associate Product Manager,associate pm,en,
Associate Product Manager,junior product manager,en,
Associate Product Manager,助理產品經理,zh,
Associate Product Manager,初階產品經理,zh,
Associate Product Manager,APM,en,
Associate Product Manager,Associate PM,en,
Product Manager,Product Manager,en,
Product Manager,product manager,en,
Product Manager,pm,en,PM 可能是 Product Manager 或 Project Manager，需依上下文判斷
Product Manager,product lead,en,
Product Manager,product management,en,
Product Manager,產品經理,zh,
Product Manager,PM,en,PM 可能是 Product Manager 或 Project Manager，需依上下文判斷
Product Owner,Product Owner,en,
Product Owner,product owner,en,
Product Owner,po,en,PO 也可能指 purchase order，需搭配 role context
Product Owner,scrum product owner,en,
Product Owner,產品負責人,zh,
Product Owner,PO,en,
Software Product Manager,Software Product Manager,en,
Software Product Manager,software product manager,en,
Software Product Manager,software pm,en,
Software Product Manager,software product lead,en,
Software Product Manager,軟體產品經理,zh,
Software Product Manager,Software PM,en,
Software Product Manager,軟體PM,mixed,
Technical Product Manager,Technical Product Manager,en,
Technical Product Manager,technical product manager,en,
Technical Product Manager,technical pm,en,
Technical Product Manager,tpm product,en,
Technical Product Manager,tech product manager,en,
Technical Product Manager,技術產品經理,zh,
Technical Product Manager,Technical PM,en,
Technical Product Manager,技術PM,mixed,
Platform Product Manager,Platform Product Manager,en,
Platform Product Manager,platform product manager,en,
Platform Product Manager,platform pm,en,
Platform Product Manager,platform product lead,en,
Platform Product Manager,平台產品經理,zh,
Platform Product Manager,平台PM,mixed,
Platform Product Manager,Platform PM,en,
Product Operations Analyst,Product Operations Analyst,en,
Product Operations Analyst,product operations analyst,en,
Product Operations Analyst,product ops analyst,en,
Product Operations Analyst,product operation analyst,en,
Product Operations Analyst,產品營運分析師,zh,
Product Operations Analyst,Product Ops分析師,mixed,
Product Operations Analyst,產品運營分析師,zh,
Product Operations Manager,Product Operations Manager,en,
Product Operations Manager,product operations manager,en,
Product Operations Manager,product ops manager,en,
Product Operations Manager,product operation manager,en,
Product Operations Manager,產品營運經理,zh,
Product Operations Manager,Product Ops經理,mixed,
Product Operations Manager,產品運營經理,zh,
Product Strategy Analyst,Product Strategy Analyst,en,
Product Strategy Analyst,product strategy analyst,en,
Product Strategy Analyst,product strategist analyst,en,
Product Strategy Analyst,product planning analyst,en,
Product Strategy Analyst,產品策略分析師,zh,
Product Strategy Analyst,Product Strategy分析師,mixed,
Product Strategy Analyst,產品企劃分析師,zh,
Product Analyst,Product Analyst,en,
Product Analyst,product analyst,en,
Product Analyst,product data analyst,en,
Product Analyst,product analytics analyst,en,
Product Analyst,pa,en,
Product Analyst,產品分析師,zh,
Product Analyst,產品數據分析師,zh,
Growth Product Analyst,Growth Product Analyst,en,
Growth Product Analyst,growth product analyst,en,
Growth Product Analyst,growth product analytics analyst,en,
Growth Product Analyst,user growth product analyst,en,
Growth Product Analyst,成長產品分析師,zh,
Growth Product Analyst,Growth Product分析師,mixed,
Growth Product Analyst,用戶成長產品分析師,zh,
User Researcher,User Researcher,en,
User Researcher,user researcher,en,
User Researcher,ux researcher,en,
User Researcher,user research specialist,en,
User Researcher,使用者研究員,zh,
User Researcher,用戶研究員,zh,
User Researcher,UX研究員,mixed,
Strategy Analyst,Strategy Analyst,en,
Strategy Analyst,strategy analyst,en,
Strategy Analyst,business strategy analyst,en,
Strategy Analyst,strategic analyst,en,
Strategy Analyst,策略分析師,zh,
Strategy Analyst,商業策略分析師,zh,
Corporate Strategy Analyst,Corporate Strategy Analyst,en,
Corporate Strategy Analyst,corporate strategy analyst,en,
Corporate Strategy Analyst,corp strategy analyst,en,
Corporate Strategy Analyst,company strategy analyst,en,
Corporate Strategy Analyst,企業策略分析師,zh,
Corporate Strategy Analyst,公司策略分析師,zh,
Corporate Strategy Analyst,Corporate Strategy分析師,mixed,
Business Strategy Associate,Business Strategy Associate,en,
Business Strategy Associate,business strategy associate,en,
Business Strategy Associate,strategy associate,en,
Business Strategy Associate,business strategy specialist,en,
Business Strategy Associate,商業策略專員,zh,
Business Strategy Associate,策略專員,zh,
Strategic Planning Analyst,Strategic Planning Analyst,en,
Strategic Planning Analyst,strategic planning analyst,en,
Strategic Planning Analyst,strategy planning analyst,en,
Strategic Planning Analyst,corporate planning analyst,en,
Strategic Planning Analyst,策略規劃分析師,zh,
Strategic Planning Analyst,戰略規劃分析師,zh,
Strategic Planning Analyst,Strategic Planning分析師,mixed,
Corporate Development Analyst,Corporate Development Analyst,en,
Corporate Development Analyst,corporate development analyst,en,
Corporate Development Analyst,corp dev analyst,en,
Corporate Development Analyst,corporate development associate,en,
Corporate Development Analyst,企業發展分析師,zh,
Corporate Development Analyst,公司發展分析師,zh,
Corporate Development Analyst,Corp Dev分析師,mixed,
Chief of Staff Associate,Chief of Staff Associate,en,
Chief of Staff Associate,chief of staff associate,en,
Chief of Staff Associate,chief of staff analyst,en,
Chief of Staff Associate,ceo office associate,en,
Chief of Staff Associate,founder office associate,en,
Chief of Staff Associate,幕僚專員,zh,
Chief of Staff Associate,總經理室專員,zh,
Chief of Staff Associate,CEO Office專員,mixed,
CEO Office Analyst,CEO Office Analyst,en,
CEO Office Analyst,ceo office analyst,en,
CEO Office Analyst,office of ceo analyst,en,
CEO Office Analyst,executive office analyst,en,
CEO Office Analyst,總經理室分析師,zh,
CEO Office Analyst,CEO Office分析師,mixed,
CEO Office Analyst,經營企劃分析師,zh,
Business Transformation Analyst,Business Transformation Analyst,en,
Business Transformation Analyst,business transformation analyst,en,
Business Transformation Analyst,transformation analyst,en,
Business Transformation Analyst,digital transformation analyst,en,
Business Transformation Analyst,企業轉型分析師,zh,
Business Transformation Analyst,商業轉型分析師,zh,
Business Transformation Analyst,Business Transformation分析師,mixed,
Strategic Initiatives Analyst,Strategic Initiatives Analyst,en,
Strategic Initiatives Analyst,strategic initiatives analyst,en,
Strategic Initiatives Analyst,strategic projects analyst,en,
Strategic Initiatives Analyst,strategy initiatives analyst,en,
Strategic Initiatives Analyst,策略專案分析師,zh,
Strategic Initiatives Analyst,策略推進分析師,zh,
Strategic Initiatives Analyst,Strategic Initiatives分析師,mixed,
Business Operations Analyst,Business Operations Analyst,en,
Business Operations Analyst,business operations analyst,en,
Business Operations Analyst,bizops analyst,en,
Business Operations Analyst,business ops analyst,en,
Business Operations Analyst,商業營運分析師,zh,
Business Operations Analyst,Business Operations分析師,mixed,
Business Operations Analyst,BizOps分析師,mixed,
Business Operations Associate,Business Operations Associate,en,
Business Operations Associate,business operations associate,en,
Business Operations Associate,bizops associate,en,
Business Operations Associate,business ops associate,en,
Business Operations Associate,商業營運專員,zh,
Business Operations Associate,BizOps專員,mixed,
Business Analyst,Business Analyst,en,
Business Analyst,business analyst,en,
Business Analyst,ba,en,BA 可能是 Business Analyst，也可能是 bachelor degree 縮寫；職缺標題中通常可用
Business Analyst,business analysis analyst,en,
Business Analyst,business analyst intern,en,
Business Analyst,商業分析師,zh,
Business Analyst,BA,en,
Associate Consultant,Associate Consultant,en,
Associate Consultant,associate consultant,en,
Associate Consultant,consultant associate,en,
Associate Consultant,entry level consultant,en,
Associate Consultant,顧問,zh,
Associate Consultant,助理顧問,zh,
Associate Consultant,初階顧問,zh,
Junior Consultant,Junior Consultant,en,
Junior Consultant,junior consultant,en,
Junior Consultant,consultant assistant,en,
Junior Consultant,entry consultant,en,
Junior Consultant,初階顧問,zh,
Junior Consultant,顧問助理,zh,
Management Consultant,Management Consultant,en,
Management Consultant,management consultant,en,
Management Consultant,mgmt consultant,en,
Management Consultant,business consultant,en,
Management Consultant,管理顧問,zh,
Strategy Consultant,Strategy Consultant,en,
Strategy Consultant,strategy consultant,en,
Strategy Consultant,strategic consultant,en,
Strategy Consultant,策略顧問,zh,
Business Consultant,Business Consultant,en,
Business Consultant,business consultant,en,
Business Consultant,enterprise consultant,en,
Business Consultant,business advisory consultant,en,
Business Consultant,商業顧問,zh,
Business Consultant,企業顧問,zh,
Operations Consultant,Operations Consultant,en,
Operations Consultant,operations consultant,en,
Operations Consultant,operation consultant,en,
Operations Consultant,ops consultant,en,
Operations Consultant,營運顧問,zh,
Operations Consultant,運營顧問,zh,
Process Improvement Consultant,Process Improvement Consultant,en,
Process Improvement Consultant,process improvement consultant,en,
Process Improvement Consultant,process consultant,en,
Process Improvement Consultant,process optimization consultant,en,
Process Improvement Consultant,流程改善顧問,zh,
Process Improvement Consultant,流程優化顧問,zh,
Process Improvement Consultant,Process Improvement顧問,mixed,
Business Transformation Consultant,Business Transformation Consultant,en,
Business Transformation Consultant,business transformation consultant,en,
Business Transformation Consultant,transformation consultant,en,
Business Transformation Consultant,商業轉型顧問,zh,
Business Transformation Consultant,企業轉型顧問,zh,
Business Transformation Consultant,Business Transformation顧問,mixed,
Technology Consultant,Technology Consultant,en,
Technology Consultant,technology consultant,en,
Technology Consultant,tech consultant,en,
Technology Consultant,technical consultant,en,
Technology Consultant,科技顧問,zh,
Technology Consultant,技術顧問,zh,
Digital Transformation Consultant,Digital Transformation Consultant,en,
Digital Transformation Consultant,digital transformation consultant,en,
Digital Transformation Consultant,dx consultant,en,
Digital Transformation Consultant,digital consultant,en,
Digital Transformation Consultant,數位轉型顧問,zh,
Digital Transformation Consultant,Digital Transformation顧問,mixed,
Digital Transformation Consultant,DX顧問,mixed,
IT Consultant,IT Consultant,en,
IT Consultant,it consultant,en,
IT Consultant,information technology consultant,en,
IT Consultant,systems consultant,en,
IT Consultant,IT顧問,mixed,
IT Consultant,資訊顧問,zh,
IT Consultant,系統顧問,zh,
Business Technology Analyst,Business Technology Analyst,en,
Business Technology Analyst,business technology analyst,en,
Business Technology Analyst,bta,en,
Business Technology Analyst,business tech analyst,en,
Business Technology Analyst,商業科技分析師,zh,
Business Technology Analyst,科技分析師,zh,
Systems Consultant,Systems Consultant,en,
Systems Consultant,systems consultant,en,
Systems Consultant,system consultant,en,
Systems Consultant,information systems consultant,en,
Systems Consultant,系統顧問,zh,
Systems Consultant,資訊系統顧問,zh,
Marketing Consultant,Marketing Consultant,en,
Marketing Consultant,marketing consultant,en,
Marketing Consultant,marketing advisory consultant,en,
Marketing Consultant,行銷顧問,zh,
Human Capital Consultant,Human Capital Consultant,en,
Human Capital Consultant,human capital consultant,en,
Human Capital Consultant,hr consultant,en,
Human Capital Consultant,people consultant,en,
Human Capital Consultant,人力資本顧問,zh,
Human Capital Consultant,HR顧問,mixed,
Risk Consultant,Risk Consultant,en,
Risk Consultant,risk consultant,en,
Risk Consultant,risk advisory consultant,en,
Risk Consultant,風險顧問,zh,
Compliance Consultant,Compliance Consultant,en,
Compliance Consultant,compliance consultant,en,
Compliance Consultant,regulatory compliance consultant,en,
Compliance Consultant,法遵顧問,zh,
Compliance Consultant,合規顧問,zh,
ESG Consultant,ESG Consultant,en,
ESG Consultant,esg consultant,en,
ESG Consultant,sustainability consultant,en,
ESG Consultant,esg advisory consultant,en,
ESG Consultant,ESG顧問,mixed,
ESG Consultant,永續顧問,zh,
Sustainability Consultant,Sustainability Consultant,en,
Sustainability Consultant,sustainability consultant,en,
Sustainability Consultant,sustainable development consultant,en,
Sustainability Consultant,永續顧問,zh,
Sustainability Consultant,永續發展顧問,zh,
Analytics Consultant,Analytics Consultant,en,
