job_parent_category,job_sub_category,job_skill_name,中文職位名稱關鍵字
Market Research / Consumer Insight,Consumer / Customer Insight,Customer Insights Analyst,"顧客洞察, 客戶洞察, 顧客分析, 客戶分析, 顧客洞察研究, 客戶洞察研究"
Market Research / Consumer Insight,Consumer / Customer Insight,User Research Analyst,"使用者研究, 用戶研究, UX研究, 使用者洞察, 使用者研究訪談, 用戶體驗研究"
Market Research / Consumer Insight,Competitive / Market Intelligence,Competitive Intelligence Analyst,"競品分析, 競爭情報, 競爭分析, 競品研究, 競品情報"
Market Research / Consumer Insight,Competitive / Market Intelligence,Market Intelligence Analyst,"市場情報, 市場洞察, 市場情報分析, 產業情報, 市場監測"
Market Research / Consumer Insight,Competitive / Market Intelligence,Industry Research Analyst,"產業研究, 產業分析, 行業研究, 行業分析, 產業趨勢研究"
Sales / Business Development / Partnership,Business Development,Business Development Associate,"商務開發, 業務開發, 商業開發, BD, 商務拓展, 商務合作開發"
Sales / Business Development / Partnership,Business Development,Business Development Representative,"業務開發, 商務開發, 商務拓展, BDR, 開發業務, 新客開發"
Sales / Business Development / Partnership,Business Development,Business Development Manager,"商務開發, 業務開發, 商務拓展, 商業開發, 業務拓展, 商機開發"
Sales / Business Development / Partnership,Sales / Account Management,Sales Executive,"業務銷售, 業務開發, 銷售代表, 業務代表, Sales, 銷售業務"
Sales / Business Development / Partnership,Sales / Account Management,Sales Analyst,"銷售分析, 業務分析, Sales分析, 銷售數據分析, 業績分析"
Sales / Business Development / Partnership,Sales / Account Management,Account Executive,"客戶業務, 客戶管理, AE, Account Executive, 客戶開發, 客戶維護"
Sales / Business Development / Partnership,Sales / Account Management,Account Manager,"客戶管理, 帳戶管理, 客戶經營, 帳戶經營, Account Management"
Sales / Business Development / Partnership,Sales / Account Management,Key Account Manager,"大客戶, 關鍵客戶, 大客戶管理, 關鍵客戶管理, KAM, Key Account"
Sales / Business Development / Partnership,Partnership / Channel / Customer Success,Partnership Manager,"合作夥伴, 異業合作, 策略合作, Partnership, 商務合作, 合作夥伴關係"
Sales / Business Development / Partnership,Partnership / Channel / Customer Success,Strategic Partnerships Analyst,"策略合作, 商務合作, 策略聯盟, 合作分析, Partnership分析"
Sales / Business Development / Partnership,Partnership / Channel / Customer Success,Channel Sales Manager,"通路業務, 渠道銷售, 通路開發, 通路管理, 渠道管理"
Sales / Business Development / Partnership,Partnership / Channel / Customer Success,Customer Success Manager,"客戶成功, Customer Success, CSM, 客戶經營, 客戶關係管理"
Product Management,Product Management,Associate Product Manager,"助理產品, 初階產品, APM, Associate PM, 初級產品, 入門產品"
Product Management,Product Management,Product Manager,"產品, 產品管理, 產品企劃, PM, Product Manager, 產品規劃"
Product Management,Product Management,Product Owner,"產品負責人, Product Owner, PO, 產品待辦清單, 產品待辦管理"
Product Management,Product Management,Software Product Manager,"軟體產品, 軟體產品, Software PM, 軟體PM, 軟體產品管理"
Product Management,Product Management,Technical Product Manager,"技術產品, 技術產品, Technical PM, 技術PM, 技術產品管理"
Product Management,Product Management,Platform Product Manager,"平台產品, 平台產品, 平台PM, Platform PM, 平台產品管理"
Product Management,Product Operations / Product Strategy,Product Operations Analyst,"產品營運, 產品運營, Product Ops, 產品營運分析, 產品運營分析"
Product Management,Product Operations / Product Strategy,Product Operations Manager,"產品營運, 產品運營, Product Operations, 產品營運管理, 產品運營管理"
Product Management,Product Operations / Product Strategy,Product Strategy Analyst,"產品策略, Product Strategy, 產品企劃, 產品策略分析, 產品路線圖"
Product Management,Product Operations / Product Strategy,Product Analyst,"產品分析, Product Analyst, 產品數據分析, 產品資料分析, 產品指標分析"
Product Management,Product Operations / Product Strategy,Growth Product Analyst,"成長產品, Growth Product, 成長產品分析, 用戶成長產品分析, 產品成長分析"
Product Marketing,Product Marketing,Product Marketing Specialist,"產品行銷, Product Marketing, PMM, 產品行銷企劃, 產品上市行銷"
Product Marketing,Product Marketing,Product Marketing Manager,"產品行銷, 產品行銷管理, 產品行銷策略, Product Marketing Manager, PMM"
Product Marketing,Product Marketing,Solutions Marketing Manager,"解決方案行銷, 方案行銷, Solution Marketing, 解決方案行銷策略, 方案行銷規劃"
Product Marketing,Go-to-Market,GTM Strategy Analyst,"GTM策略, 上市策略, Go-to-Market策略, 上市規劃, 市場進入策略"
Product Marketing,Go-to-Market,Go-to-Market Analyst,"GTM, Go-to-Market, 上市分析, 市場進入分析, 上市規劃分析"
Product Marketing,Go-to-Market,Go-to-Market Specialist,"GTM, Go-to-Market, 上市策略, 上市規劃, 市場進入計畫"
Product Marketing,Go-to-Market,GTM Manager,"GTM, 上市策略, Go-to-Market管理, 上市規劃, 市場進入策略"
Strategy / Corporate Development,Corporate Strategy,Strategy Analyst,"策略分析, Strategy Analyst, 商業策略分析, 企業策略分析"
Strategy / Corporate Development,Corporate Strategy,Corporate Strategy Analyst,"企業策略, 公司策略, Corporate Strategy, 公司整體策略, 集團策略"
Strategy / Corporate Development,Corporate Strategy,Business Strategy Associate,"商業策略, Business Strategy, 策略規劃, 商業模式分析, 成長策略"
Strategy / Corporate Development,Corporate Strategy,Strategic Planning Analyst,"策略規劃, 戰略規劃, Strategic Planning, 中長期規劃, 年度經營計畫"
Strategy / Corporate Development,Corporate Development / CEO Office,Corporate Development Analyst,"企業發展, 公司發展, Corporate Development, 併購開發, 投資開發"
Strategy / Corporate Development,Corporate Development / CEO Office,Chief of Staff Associate,"幕僚, 幕僚團隊, 總室, CEO Office, Chief of Staff"
Strategy / Corporate Development,Corporate Development / CEO Office,CEO Office Analyst,"CEO Office, 總室, 經營企劃, 經營企劃分析, 經營管理分析"
Strategy / Corporate Development,Business Transformation,Business Transformation Analyst,"企業轉型, 商業轉型, Business Transformation, 組織轉型, 營運轉型"
Strategy / Corporate Development,Business Transformation,Strategic Initiatives Analyst,"策略專案, 策略推進, Strategic Initiatives, 關鍵專案, 轉型專案"
Strategy / Corporate Development,Business Transformation,Business Operations Analyst,"商業營運, Business Operations, BizOps, 營運分析, 營運優化"
Consulting,Management / Strategy Consulting,Business Analyst,"商業分析, Business Analyst, BA, 業務需求分析, 解決方案分析"
Consulting,Management / Strategy Consulting,Associate Consultant,"管理顧問, 顧問, Associate Consultant, 顧問團隊"
Consulting,Management / Strategy Consulting,Junior Consultant,"初階顧問, 顧問, 顧問助理, Junior Consultant"
Consulting,Management / Strategy Consulting,Management Consultant,"管理顧問, Management Consultant, 經營管理顧問"
Consulting,Management / Strategy Consulting,Strategy Consultant,"策略顧問, Strategy Consultant, 商業策略顧問"
Consulting,Management / Strategy Consulting,Business Consultant,"商業顧問, Business Consultant, 企業顧問, 商業策略顧問"
Consulting,Operations / Process Consulting,Operations Consultant,"營運顧問, Operations Consultant, 運營顧問, 營運管理顧問"
Consulting,Operations / Process Consulting,Process Improvement Consultant,"流程改善, 流程優化, Process Improvement, 流程再造, BPR"
Consulting,Operations / Process Consulting,Business Transformation Consultant,"企業轉型, Business Transformation, 商業轉型, 組織轉型, 轉型顧問"
Consulting,Technology / Digital Consulting,Technology Consultant,"科技顧問, 技術顧問, Technology Consultant, 技術解決方案顧問"
Consulting,Technology / Digital Consulting,Digital Transformation Consultant,"數位轉型, Digital Transformation, DX, 數位升級, 數位化轉型"
Consulting,Technology / Digital Consulting,IT Consultant,"IT顧問, 資訊顧問, 系統顧問, IT Consulting"
Consulting,Technology / Digital Consulting,Business Technology Analyst,"商業科技, Business Technology, 商業科技分析, 科技策略分析"
Consulting,Technology / Digital Consulting,Systems Consultant,"系統顧問, Systems Consultant, 資訊系統顧問, 系統導入顧問"
Consulting,Functional Consulting,Marketing Consultant,"行銷顧問, Marketing Consultant, 行銷策略顧問"
Consulting,Functional Consulting,Human Capital Consultant,"人力資本顧問, HR顧問, Human Capital Consultant, 組織發展顧問"
Consulting,Functional Consulting,Risk Consultant,"風險顧問, Risk Consultant, 企業風險管理顧問"
Consulting,Functional Consulting,Compliance Consultant,"法遵顧問, 合規顧問, Compliance Consultant, 合規管理顧問"
Consulting,Functional Consulting,ESG Consultant,"ESG顧問, 永續顧問, ESG Consultant, ESG策略"
Consulting,Functional Consulting,Sustainability Consultant,"永續顧問, Sustainability Consultant, 永續發展顧問, 永續策略"
Finance / Corporate Finance / FP&A,FP&A / Planning,Financial Analyst,"財務分析, Financial Analysis, 財務企劃分析, 損益分析, 成本分析"
Finance / Corporate Finance / FP&A,FP&A / Planning,Finance Analyst,"財務分析, Finance Analyst, 財務報表分析, 財務績效分析"
Finance / Corporate Finance / FP&A,FP&A / Planning,FP&A Analyst,"FP&A, 財務規劃, 財務計畫, 預算編製, 預測分析, 財務預測"
Finance / Corporate Finance / FP&A,FP&A / Planning,Financial Planning Analyst,"財務規劃, Financial Planning, 財務計畫, 規劃分析, 規劃預測"
Finance / Corporate Finance / FP&A,FP&A / Planning,Budget Analyst,"預算分析, Budget Analyst, 預算管理, 預算控管"
Finance / Corporate Finance / FP&A,Corporate Finance / Strategic Finance,Corporate Finance Analyst,"企業財務, 公司財務, Corporate Finance, 資本結構分析, 投資評估"
Finance / Corporate Finance / FP&A,Corporate Finance / Strategic Finance,Strategic Finance Analyst,"策略財務, Strategic Finance, 財務策略, 商業決策支持, 財務模型"
Finance / Corporate Finance / FP&A,Corporate Finance / Strategic Finance,Commercial Finance Analyst,"商業財務, Commercial Finance, 業務財務, 盈利能力分析, 價格結構分析"
Finance / Corporate Finance / FP&A,Corporate Finance / Strategic Finance,Treasury Analyst,"資金管理, Treasury, 財資管理, 現金流管理, 資金調度"
Finance / Corporate Finance / FP&A,Revenue / Pricing / Unit Economics,Revenue Analyst,"營收分析, Revenue Analysis, 收入分析, 收入結構分析, 營收預測"
Finance / Corporate Finance / FP&A,Revenue / Pricing / Unit Economics,Pricing Analyst,"定價分析, Pricing Analyst, 價格分析, 價格策略, 價格彈性分析"
Finance / Corporate Finance / FP&A,Revenue / Pricing / Unit Economics,Revenue Operations Analyst,"營收營運, Revenue Operations, RevOps, 營收流程優化, 營收系統管理"
Investment / Capital Markets,Investment Banking / Capital Markets,Investment Banking Analyst,"投資銀行, Investment Banking, IB Analyst, 併購分析, 募資分析"
Investment / Capital Markets,Investment Banking / Capital Markets,Capital Markets Analyst,"資本市場, Capital Markets, 證券發行分析, 市場募資分析"
Investment / Capital Markets,Investment Banking / Capital Markets,Sales & Trading Analyst,"銷售交易, Sales & Trading, 交易分析, 市場做市, 流動性分析"
Investment / Capital Markets,Investment Banking / Capital Markets,Trader,"交易, 交易員, 金融交易, 自營交易, 衍生性商品交易"
Investment / Capital Markets,Investment Research,Equity Research Analyst,"股票研究, Equity Research, 產業研究, 公司基本面分析, 估值模型"
Investment / Capital Markets,Investment Research,Fixed Income Analyst,"固定收益, Fixed Income, 債券分析, 收益率曲線分析, 信用利差分析"
Investment / Capital Markets,Investment Research,Investment Research Analyst,"投資研究, Investment Research, 投資標的研究, 產業分析, 投資建議"
Investment / Capital Markets,Investment Research,Credit Research Analyst,"信用研究, Credit Research, 債信分析, 信用風險評估, 評等分析"
Investment / Capital Markets,Asset Management / Buy-side,Investment Analyst,"投資分析, Investment Analyst, 投資標的分析, 投資組合評估"
Investment / Capital Markets,Asset Management / Buy-side,Portfolio Analyst,"投資組合分析, Portfolio Analysis, 資產配置分析, 投組風險分析"
Investment / Capital Markets,Asset Management / Buy-side,Asset Management Analyst,"資產管理, Asset Management, 資產配置, 資產管理分析"
Investment / Capital Markets,Asset Management / Buy-side,Private Equity Analyst,"私募股權, Private Equity, PE Analyst, 併購投資分析, 收購標的評估"
Investment / Capital Markets,Asset Management / Buy-side,Venture Capital Analyst,"創投, Venture Capital, VC Analyst, 新創投資分析, 早期投資分析"
Banking / Credit / Wealth,Banking / Credit,Corporate Banking Analyst,"企業金融, Corporate Banking, 法金, 法人金融分析, 企業授信分析"
Banking / Credit / Wealth,Banking / Credit,Commercial Banking Analyst,"商業銀行, Commercial Banking, 企金, 企業貸款分析, 中小企業金融"
Banking / Credit / Wealth,Banking / Credit,Credit Analyst,"信用分析, 授信分析, Credit Analysis, 信用評等, 信用風險評估"
Banking / Credit / Wealth,Banking / Credit,Loan Officer,"貸款, 授信, 放款審查, 貸款審核, 信貸審核"
Banking / Credit / Wealth,Banking / Credit,Underwriting Analyst,"核保分析, 承銷分析, Underwriting, 信用審核, 保單核保"
Banking / Credit / Wealth,Relationship / Wealth Management,Relationship Manager,"客戶關係管理, Relationship Management, RM, 客戶關係維護, 客戶關係經營"
Banking / Credit / Wealth,Relationship / Wealth Management,Wealth Management Associate,"財富管理, Wealth Management, 理財規劃, 資產配置建議"
Banking / Credit / Wealth,Relationship / Wealth Management,Private Banking Associate,"私人銀行, Private Banking, 私銀, 高資產客戶服務, 高淨值客戶管理"
Banking / Credit / Wealth,Relationship / Wealth Management,Financial Advisor,"理財顧問, 財務顧問, Financial Advisor, 理財規劃, 個人財務規劃"
Banking / Credit / Wealth,Relationship / Wealth Management,Investment Consultant,"投資顧問, Investment Consultant, 投資建議, 投資規劃"
Banking / Credit / Wealth,Banking Risk,Banking Risk Analyst,"銀行風險, Banking Risk, 金融風險分析, 銀行風控, 風險監控"
Banking / Credit / Wealth,Banking Risk,Credit Risk Analyst,"信用風險, Credit Risk, 信用風險分析, 授信風險, 信用品質分析"
Banking / Credit / Wealth,Banking Risk,Market Risk Analyst,"市場風險, Market Risk, 市場風險分析, 市場波動風險, 交易風險分析"
Accounting / Audit / Tax,Accounting,Accountant,"會計, 會計工作, 會計核帳, 會計記帳, Accountant, Accounting"
Accounting / Audit / Tax,Accounting,Accounting Analyst,"會計分析, Accounting Analysis, 財會分析, 財務帳務分析"
Accounting / Audit / Tax,Accounting,Cost Accountant,"成本會計, 成本核算, 成本科目管理, Cost Accounting"
Accounting / Audit / Tax,Accounting,Cost Accounting Analyst,"成本會計分析, 成本分析, 成本結構分析, Cost Accounting Analysis"
Accounting / Audit / Tax,Accounting,Management Accountant,"管理會計, 管理會計報表, 內部管理報表, 管理會計分析"
Accounting / Audit / Tax,Accounting,Revenue Accountant,"收入會計, 營收會計, 收入認列, 營收認列, Revenue Accounting"
Accounting / Audit / Tax,Audit / Assurance,Audit Associate,"審計, 審計作業, 審計工作, Audit, 查核程序"
Accounting / Audit / Tax,Audit / Assurance,Auditor,"稽核, 審計, 內外部查核, 稽核作業, 審計程序"
Accounting / Audit / Tax,Audit / Assurance,External Auditor,"外部審計, 外部稽核, 外部查核, External Audit"
Accounting / Audit / Tax,Audit / Assurance,Internal Auditor,"內部稽核, 內部審計, 內稽, 內控查核, Internal Audit"
Accounting / Audit / Tax,Audit / Assurance,Assurance Associate,"確信服務, 審計暨確信, Assurance, 財務報表查核"
Accounting / Audit / Tax,Audit / Assurance,IT Auditor,"IT稽核, 資訊稽核, 資訊系統稽核, IT Audit"
Accounting / Audit / Tax,Tax / Compliance,Tax Associate,"稅務, 稅務申報, 稅務作業, 稅務實務, Tax"
Accounting / Audit / Tax,Tax / Compliance,Tax Analyst,"稅務分析, 稅負分析, 稅務規劃, Tax Analysis"
Accounting / Audit / Tax,Tax / Compliance,Tax Consultant,"稅務顧問, 稅務諮詢, Tax Consulting, 稅務規劃顧問"
Accounting / Audit / Tax,Tax / Compliance,Transfer Pricing Analyst,"移轉訂價, 移轉定價, 轉讓訂價, Transfer Pricing"
Accounting / Audit / Tax,Tax / Compliance,Compliance Analyst,"法遵, 合規, 法規遵循, 合規管理, Compliance"
Risk / Insurance / Actuarial,Risk Management,Risk Management Analyst,"風險管理分析, 風控分析, Risk Management Analyst, 風險識別, 風險評估, 風險監控, 風險報告"
Risk / Insurance / Actuarial,Risk Management,Enterprise Risk Analyst,"企業風險分析, ERM分析, Enterprise Risk Analyst, 企業風險管理, 風險範疇管理, 風險食慾與限額"
Risk / Insurance / Actuarial,Risk Management,Operational Risk Analyst,"作業風險分析, 營運風險分析, Operational Risk Analyst, 操作風險事件, 風險與控制自我評估"
Risk / Insurance / Actuarial,Risk Management,Financial Risk Analyst,"金融風險分析, 財務風險分析, Financial Risk Analyst, 市場風險, 信用風險, 流動性風險"
Risk / Insurance / Actuarial,Risk Management,Market Risk Analyst,"市場風險分析, Market Risk Analyst, 市場波動風險, 市場風險指標"
Risk / Insurance / Actuarial,Risk Management,Credit Risk Analyst,"信用風險分析, Credit Risk Analyst, 授信風險, 信用品質分析"
Risk / Insurance / Actuarial,Insurance,Insurance Analyst,"保險,保險分析, 保險商品分析, Insurance Analyst, 保單分析, 保險風險分析"
Risk / Insurance / Actuarial,Insurance,Underwriting Analyst,"核保,核保分析, Underwriting Analyst, 核保審查, 承保風險評估, 核保規則"
Risk / Insurance / Actuarial,Insurance,Claims Analyst,"理賠,理賠分析, Claims Analyst, 理賠案件分析, 理賠審查, 理賠決策"
Risk / Insurance / Actuarial,Insurance,Reinsurance Analyst,"再保險,再保險分析, Reinsurance Analyst, 再保安排, 再保結構分析, 再保風險分散"
Risk / Insurance / Actuarial,Actuarial,Actuarial Analyst,"精算分析, Actuarial Analyst, 精算模型, 損失分布分析, 保費計算"
Risk / Insurance / Actuarial,Actuarial,Actuary,"精算, Actuary, 精算估計, 精算簽證, 精算報告"
Risk / Insurance / Actuarial,Actuarial,Pricing Analyst,"定價分析, 保險定價分析, Pricing Analyst, 費率訂定, 費率精算"
Risk / Insurance / Actuarial,Actuarial,Reserving Analyst,"準備金分析, 精算準備金分析, Reserving Analyst, 責任準備金, 損失準備金估計"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Operations Analyst,"營運分析, 運營分析, Operations Analyst, 營運分析, 運營分析, 營運流程優化, 營運效率提升, 營運報表分析"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Operations Associate,"營運專員, 運營專員, Operations Associate, 營運執行, 運營執行, 營運支援, 日常營運作業"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Operations Manager,"營運經理, 運營經理, Operations Manager, 營運管理, 運營管理, 營運流程管理, 營運策略執行"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Business Operations Analyst,"商業營運分析, Business Operations Analyst, BizOps分析, 商業營運分析, 營運績效分析, 營運數據分析"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Strategy & Operations Analyst,"策略營運分析, Strategy & Operations Analyst, S&O分析, 策略營運分析, 策略專案執行, 營運策略分析"
Operations / Supply Chain / Procurement,Supply Chain / Logistics,Supply Chain Analyst,"供應鏈分析, Supply Chain Analyst, 供應鏈分析, 供應鏈優化, 供應鏈規劃, 供應鏈績效分析"
Operations / Supply Chain / Procurement,Supply Chain / Logistics,Logistics Analyst,"物流分析, Logistics Analyst, 物流分析, 配送效率分析, 運輸成本分析, 物流績效分析"
Operations / Supply Chain / Procurement,Supply Chain / Logistics,Distribution Analyst,"配送分析, 通路配送分析, Distribution Analyst, 配送分析, 配送網路規劃, 配送路線優化"
Operations / Supply Chain / Procurement,Supply Chain / Logistics,Demand Planner,"需求規劃, 需求計畫專員, Demand Planner, 需求規劃, 需求計畫, 需求預測, 銷售預測"
Operations / Supply Chain / Procurement,Supply Chain / Logistics,Inventory Analyst,"庫存分析, 存貨分析, Inventory Analyst, 庫存分析, 存貨分析, 庫存控管, 補貨策略"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Procurement Analyst,"採購分析, Procurement Analyst, 採購分析, 採購成本分析, 採購支出分析, 採購績效分析"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Procurement Specialist,"採購專員, Procurement Specialist, 採購, 採購執行, 採購作業, 採購流程管理, 採購談判"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Sourcing Specialist,"尋源專員, 採購開發專員, Sourcing Specialist, 尋源, 採購開發, 供應商開發, 供應商尋找"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Purchasing Specialist,"採購專員, Purchasing Specialist, 採購, 採購作業, 採購下單, 採購訂單管理"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Vendor Manager,"供應商管理經理, 廠商管理經理, Vendor Manager, 供應商管理, 廠商管理, 供應商關係管理, 供應商績效評估"
Operations / Supply Chain / Procurement,Program / Project / PMO,Project Manager,"專案經理, Project Manager, PM, 專案管理, 專案規劃, 專案執行"
Operations / Supply Chain / Procurement,Program / Project / PMO,Program Manager,"計畫經理, Program Manager, 專案群經理, 計畫管理, 專案群管理, 跨專案協調"
Operations / Supply Chain / Procurement,Program / Project / PMO,Business Program Manager,"商業專案經理, Business Program Manager, 商業專案管理, 商業專案規劃, 商業專案執行"
Operations / Supply Chain / Procurement,Program / Project / PMO,PMO Analyst,"PMO分析, 專案管理分析, 專案管理辦公室分析, PMO分析, 專案進度追蹤, 專案報表分析"
Operations / Supply Chain / Procurement,Program / Project / PMO,Operations Excellence Analyst,"營運卓越分析, 營運優化分析, Operations Excellence Analyst, 營運卓越分析, 營運優化, 持續改善, 流程優化"
Analytics / Data / BI,Business Analytics,Business Analyst,"商業分析, Business Analyst, BA, 商業數據分析, 商業決策支持"
Analytics / Data / BI,Business Analytics,Business Intelligence Analyst,"商業智慧分析, BI分析, Business Intelligence Analyst, 商業智慧報表, BI報表開發"
Analytics / Data / BI,Business Analytics,BI Analyst,"BI分析, 商業智慧分析, BI報表開發, BI儀表板維護"
Analytics / Data / BI,Business Analytics,Analytics Consultant,"數據分析顧問, 分析顧問, Analytics Consultant, 分析方案設計, 數據洞察"
Analytics / Data / BI,Business Analytics,Strategy Analyst,"策略分析, Strategy Analyst, 策略數據分析, 策略研究"
Analytics / Data / BI,BI / Reporting,BI Developer,"BI開發工程, BI Developer, 商業智慧開發工程, BI報表開發, BI儀表板開發"
Analytics / Data / BI,BI / Reporting,Reporting Analyst,"報表分析, Reporting Analyst, 數據報表分析, 報表設計, 報表自動化"
Analytics / Data / BI,BI / Reporting,Dashboard Analyst,"儀表板分析, Dashboard Analyst, Dashboard開發分析, 儀表板設計, 儀表板維護"
Analytics / Data / BI,BI / Reporting,Data Visualization Analyst,"資料視覺化分析, 數據視覺化分析, Data Visualization Analyst, 數據可視化設計, 視覺化報表"
Analytics / Data / BI,Functional Analytics,Product Analyst,"產品分析, Product Analyst, 產品數據分析, 產品指標分析, 使用者行為分析"
Analytics / Data / BI,Functional Analytics,Marketing Analyst,"行銷分析, Marketing Analyst, 行銷數據分析, 行銷成效分析, 活動成效分析"
Analytics / Data / BI,Functional Analytics,Operations Analyst,"營運分析, Operations Analyst, 運營分析, 營運數據分析, 營運流程優化"
Analytics / Data / BI,Functional Analytics,Financial Data Analyst,"財務數據分析, Financial Data Analyst, 財務報表數據分析, 財務指標分析"
Analytics / Data / BI,Functional Analytics,Customer Insights Analyst,"顧客洞察分析, 客戶洞察分析, Customer Insights Analyst, 顧客行為分析, 顧客分群分析"
Data Science / ML,Data Science,Data Scientist,"資料科學家, 數據科學家, Data Scientist, 機器學習模型開發, 數據建模"
Data Science / ML,Data Science,Decision Scientist,"決策科學家, Decision Scientist, 決策分析, 決策模型, 因果推論分析"
Data Science / ML,Data Science,Applied Scientist,"應用科學家, Applied Scientist, 應用機器學習, 應用研究"
Data Science / ML,Data Science,Statistical Analyst,"統計分析, Statistical Analyst, 統計建模, 統計檢定"
Data Science / ML,Data Science,Statistician,"統計, Statistician, 統計設計, 統計分析"
Data Science / ML,ML / Forecasting,Machine Learning Analyst,"機器學習分析, ML分析, Machine Learning Analyst, 模型訓練, 特徵工程"
Data Science / ML,ML / Forecasting,Forecasting Analyst,"預測分析, Forecasting Analyst, 需求預測分析, 時間序列預測, 預測模型"
Data Science / ML,ML / Forecasting,Predictive Analytics Analyst,"預測分析分析, Predictive Analytics Analyst, 預測模型分析, 預測分析模型, 風險預測"
Data Science / ML,Quantitative Analytics,Quantitative Analyst,"量化分析, Quantitative Analyst, Quant Analyst, 量化交易模型, 量化風險分析"
Data Science / ML,Quantitative Analytics,Quantitative Research Analyst,"量化研究分析, Quantitative Research Analyst, 量化研究, 策略回測"
Data Science / ML,Quantitative Analytics,Risk Modeling Analyst,"風險模型分析, Risk Modeling Analyst, 風險模型建置, 風險參數估計"
